Blue (Band 2),Green (Band 3),Red (Band 4),NIR (Band 5),SWIR (Band 6),SWIR (Band 7),class_id
9559,10708,11705,15747,16688,14088,5
9840,11309,12608,17193,18410,15482,5
10233,11730,13269,17734,19450,16132,5
10362,11975,13669,18053,20061,16823,5
10576,12280,14189,18392,20577,17511,5
10755,12600,14654,18613,21052,18299,5
10724,12641,14828,18588,21131,18678,5
10670,12606,14579,18539,20480,18214,5
10686,12651,14543,18327,20233,18552,5
10696,12666,14536,18354,20171,18676,5
10897,13004,14944,18598,20673,19182,5
11107,13235,15290,18935,20873,19275,5
11323,13662,15840,19039,21166,19721,5
11274,13400,15554,18880,21278,19703,5
11234,13475,15745,19022,21608,20107,5
10992,13128,15354,18771,21464,19839,5
10780,12734,14853,18472,20999,19263,5
10606,12401,14313,17986,20788,19020,5
10404,12208,14190,17823,20528,18784,5
10276,11927,13726,17668,19975,17980,5
10347,11969,13827,17827,20195,18015,5
10461,12167,14053,17946,20296,18086,5
10570,12358,14276,17951,20414,19055,5
10656,12464,14474,17769,20575,19556,5
10654,12464,14451,17856,20570,19531,5
10672,12542,14485,18191,20509,19224,5
10587,12469,14291,18263,20240,18786,5
10577,12432,14277,18192,20256,18689,5
10720,12547,14540,18186,20614,19172,5
10673,12449,14403,17878,20662,19254,5
10491,12249,14235,17734,20391,18839,5
10578,12360,14446,18523,20719,18066,5
10614,12493,14695,19014,21033,17808,5
10563,12300,14362,18473,20874,18133,5
10414,12089,13885,18165,20124,17783,5
10446,12193,14065,18145,20229,18298,5
10503,12285,14202,17906,20405,18921,5
10555,12358,14282,17899,20490,19076,5
10453,12158,14066,17794,20113,18406,5
10483,12169,14036,17587,20371,18807,5
10442,12126,13969,17463,20325,18789,5
10467,12090,13933,17375,20484,18966,5
10426,12085,13889,17384,19972,18328,5
10403,12029,13812,17488,19861,18294,5
10503,12162,14012,17678,20342,18837,5
10545,12343,14302,18204,20325,18616,5
10421,12212,14139,17971,20069,18314,5
10255,11904,13719,17624,19441,17474,5
10359,12030,13772,17797,19529,17659,5
10362,12119,13905,17761,19692,18037,5
10277,11998,13745,17651,19395,17877,5
10344,12005,13796,17478,19672,18137,5
10345,12071,13904,17496,19862,18424,5
10415,12096,14030,17744,20287,18220,5
10363,11968,14007,18206,20687,16979,5
10498,12148,14152,18327,20694,17562,5
10503,12339,14393,18310,20563,18128,5
10538,12311,14288,17907,20759,18996,5
10230,11780,13302,18455,19878,16418,5
10541,12304,14277,18879,20487,17486,5
10630,12405,14500,18574,20859,18247,5
10776,12588,14774,18608,21156,18639,5
10969,12893,15176,18678,21419,19454,5
10887,12770,15013,18665,21436,19290,5
10750,12624,14691,18585,20847,18399,5
10776,12720,14635,18330,20490,19020,5
10784,12739,14659,18233,20396,19056,5
11005,13003,14992,18459,21075,19663,5
11060,13143,15241,18632,20945,19513,5
11098,13170,15267,18517,20872,19449,5
10996,13066,15118,18590,20739,19059,5
11205,13358,15517,19059,21388,19755,5
10969,13163,15274,18818,21169,19583,5
10635,12521,14542,18307,20875,18905,5
10429,12130,14014,18305,20606,17461,5
10275,11970,13796,18445,20289,16928,5
10237,11889,13667,18452,19767,16414,5
10332,12027,13875,18470,19923,16833,5
