RasterValue,Reference,Classification,PixelSum,Area [metre^2]
1,1,1,150074,135066600
2,1,2,7812,7030800
3,1,3,2247,2022300
4,1,4,1693,1523700
5,1,5,982,883800
6,2,1,10973,9875700
7,2,2,153512,138160800
8,2,3,2582,2323800
9,2,4,2061,1854900
10,2,5,4455,4009500
11,3,1,4161,3744900
12,3,2,2963,2666700
13,3,3,16996,15296400
14,3,4,856,770400
15,3,5,531,477900
16,4,1,13890,12501000
17,4,2,5210,4689000
18,4,3,630,567000
19,4,4,94121,84708900
20,4,5,11173,10055700
21,5,1,28943,26048700
22,5,2,61591,55431900
23,5,3,5619,5057100
24,5,4,61409,55268100
25,5,5,623153,560837700

