Principal Components Analysis

Covariance matrix
Bands,1,2,3,4,5,6
1,597376.1250,717215.8125,969087.5000,509525.2500,936788.4375,1065621.5000
2,717215.8125,941373.8750,1283141.5000,748401.5000,1296492.8750,1464408.5000
3,969087.5000,1283141.5000,1894407.6250,1130655,2175327.5000,2348077.7500
4,509525.2500,748401.5000,1130655,1705023.6250,1834721.3750,1499460
5,936788.4375,1296492.8750,2175327.5000,1834721.3750,3934104.7500,3643215
6,1065621.5000,1464408.5000,2348077.7500,1499460,3643215,3977296

Correlation matrix
Bands,1,2,3,4,5,6
1,1,0.9856,0.9503,0.3106,0.7656,0.8697
2,0.9856,1,0.9841,0.4580,0.8421,0.9215
3,0.9503,0.9841,1,0.5820,0.9238,0.9720
4,0.3106,0.4580,0.5820,1,0.7937,0.6648
5,0.7656,0.8421,0.9238,0.7937,1,0.9749
6,0.8697,0.9215,0.9720,0.6648,0.9749,1

Eigenvectors
Bands,Vector_1,Vector_2,Vector_3,Vector_4,Vector_5,Vector_6
1,-0.1817,0.4067,0.1902,-0.1926,0.7208,-0.4568
2,-0.2470,0.4496,0.2554,-0.0456,0.1176,0.8097
3,-0.3854,0.4623,0.2007,-0.1531,-0.6727,-0.3485
4,-0.2899,-0.4610,0.7674,0.3311,0.0344,-0.0609
5,-0.5774,-0.4510,-0.2084,-0.6384,0.0542,0.0961
6,-0.5831,0.0530,-0.4754,0.6482,0.0994,-0.0353

Eigenvalues,Accounted variance,Cumulative variance
10835552.7877,83.0337,83.0337
1014315.6464,7.7728,90.8065
949080.9753,7.2729,98.0794
180565.2459,1.3837,99.4631
51680.6906,0.3960,99.8591
18386.6541,0.1409,100
